,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
48,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",TheJackGylele,708,TRUE,FALSE,,
49,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:23,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",sam_montznea,708,TRUE,FALSE,,
50,"$AAPL puts, can we get to the breakout # of $155 ish? https://t.co/YiBGDXxgWC",FALSE,1,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MalibuInvest,0,FALSE,FALSE,,
51,"$NQ $NDX at trendline
$AAPL #FAANG https://t.co/WMMJRDtl24",FALSE,1,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Quagmires,0,FALSE,FALSE,,
52,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroadwayToyoba,708,TRUE,FALSE,,
53,RT @theflynews: On The Fly: Pre-market Movers $AAPL $ILMN $HBI $FEYE $HUM $FMC $AN $SODA $GRPN $HLF https://t.co/PumPNV7K2q,FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>",hick94859264,1,TRUE,FALSE,,
54,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DixieChoppPrDe,708,TRUE,FALSE,,
55,RT @ShannanSiemens: Now @SquawkStreet @jimcramer: Tim Cook is a big binge watcher. He gets it. $AAPL https://t.co/5XraxOL8zy,FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KLRTRDR,4,TRUE,FALSE,,
56,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://â¦",FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",uJlioCalderon1,708,TRUE,FALSE,,
57,keep taking profits on $AAPL short. https://t.co/nZm7FBo93F,FALSE,0,,02-08-2017 14:22,FALSE,,8.92753E+17,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Zen_n_Sys,0,FALSE,FALSE,,
